Month,Day,Year,CaptureTime,BandNumber,Species,Age,Sex,Wing,Mass_g,Culmen,Hallux,Tail,StandardTail,Tarsus,WingPitFat,KeelFat,Crop
10,6,1995,12:36,1207-64628,Red-tailed,I,NA,380,1150,27.8,31.1,220,NA,NA,NA,NA,NA
10,6,1995,13:05,1207-79184,Red-tailed,I,NA,330,1000,25.9,30.2,220,NA,NA,NA,NA,NA
10,6,1995,13:10,1207-64629,Red-tailed,I,NA,410,1360,33.3,28.6,235,NA,NA,NA,NA,NA
10,7,1995,12:00,1387-79185,Red-tailed,I,NA,313,930,25.7,28.9,215,NA,NA,NA,NA,NA
10,9,1995,11:35,1387-79186,Red-tailed,I,NA,384,980,25.8,30.4,215,NA,NA,NA,NA,NA
10,9,1995,11:50,1207-64660,Red-tailed,I,NA,409,1260,27.7,31.8,221,NA,NA,NA,NA,NA
10,9,1995,12:50,1387-79187,Red-tailed,I,NA,390,900,27.5,28.6,225,NA,NA,NA,NA,NA
10,10,1995,11:50,1207-64630,Red-tailed,I,NA,411,1300,25.9,31.9,238,NA,NA,NA,NA,NA
10,11,1995,14:25,1387-79188,Red-tailed,A,NA,380,1040,26.4,30.9,212,NA,NA,NA,NA,NA
10,11,1995,14:25,1387-79189,Red-tailed,I,NA,370,950,27.3,30.5,215,NA,NA,NA,NA,NA
10,11,1995,13:15,1387-79190,Red-tailed,I,NA,415,1320,29.4,33.9,235,NA,NA,NA,NA,NA
10,12,1995,13:20,1387-79191,Red-tailed,I,NA,410,1280,27.9,32.7,229,NA,NA,NA,NA,NA
10,12,1995,14:20,1387-79192,Red-tailed,I,NA,412,1310,26.1,31.1,251,NA,NA,NA,NA,NA
10,12,1995,14:30,1207-64631,Red-tailed,A,NA,384,910,26.4,28.4,215,NA,NA,NA,NA,NA
10,13,1995,12:05,1207-64632,Red-tailed,I,NA,404,1220,28.6,30.4,225,NA,NA,NA,NA,NA
10,13,1995,13:00,1387-79193,Red-tailed,I,NA,375,920,23.8,28.8,210,NA,NA,NA,NA,NA
10,13,1995,15:00,1387-79794,Red-tailed,I,NA,410,1135,26.4,32.4,267,NA,NA,NA,NA,NA
10,14,1995,10:05,1387-79195,Red-tailed,I,NA,384,940,26.2,29.8,220,NA,NA,NA,NA,NA
10,14,1995,13:25,1207-64634,Red-tailed,I,NA,385,920,25,32.2,238,NA,NA,NA,NA,NA
10,14,1995,13:40,1387-79196,Red-tailed,I,NA,398,1280,28,32.4,248,NA,NA,NA,NA,NA
10,15,1995,14:30,1387-79197,Red-tailed,I,NA,425,1220,27.3,33,241,NA,NA,NA,NA,NA
10,15,1995,15:00,1397-79198,Red-tailed,I,NA,401,1000,26.7,28,212,NA,NA,NA,NA,NA
10,16,1995,12:35,1387-79172,Red-tailed,I,NA,387,1120,26.8,50.2,221,NA,NA,NA,NA,NA
10,16,1995,13:33,1807-53105,Red-tailed,I,NA,376,925,26,30.8,233,NA,NA,NA,NA,NA
10,17,1995,11:45,1207-64635,Red-tailed,A,NA,420,1280,27.5,31.8,230,NA,NA,NA,NA,NA
10,18,1995,12:20,877-76379,Red-tailed,I,NA,385,985,27.5,30.8,223,NA,NA,NA,NA,NA
10,18,1995,13:05,2107-64631,Red-tailed,I,NA,405,1350,28.3,32.6,226,NA,NA,NA,NA,NA
10,18,1995,13:15,1807-53107,Red-tailed,I,NA,350,730,24.6,25.7,208,NA,NA,NA,NA,NA
10,18,1995,12:00,1387-79200,Red-tailed,I,NA,388,890,27.8,31.2,231,NA,NA,NA,NA,NA
10,18,1995,12:02,877-76380,Red-tailed,I,NA,398,1020,26.5,31.1,217,NA,NA,NA,NA,NA
10,20,1995,10:10,1207-64637,Red-tailed,A,NA,410,1000,27.1,30.6,230,NA,NA,NA,NA,NA
11,2,1995,12:05,8777-63481,Red-tailed,A,NA,382,1020,26.5,29.4,225,NA,NA,NA,NA,NA
11,2,1995,13:00,1207-64638,Red-tailed,I,NA,111,1340,26.85,31.9,226,NA,NA,NA,NA,NA
11,20,1995,14:10,1207-64639,Red-tailed,I,NA,396,1300,27.3,30.5,214,NA,NA,NA,NA,NA
11,21,1995,11:45,8777-6382,Red-tailed,I,NA,363,1015,25.5,30.1,242,NA,NA,NA,NA,NA
10,2,1996,9:47,1807-53108,Red-tailed,I,NA,360,900,30.5,28.8,220,NA,NA,NA,NA,NA
10,10,1996,10:45,1207-64640,Red-tailed,I,NA,390,1000,26.1,29.6,250,NA,NA,NA,NA,NA
10,10,1996,12:15,1207-64641,Red-tailed,A,NA,390,1050,24.8,32.5,220,NA,NA,NA,NA,NA
10,10,1996,13:20,1207-64642,Red-tailed,I,NA,380,950,24.9,29,240,NA,NA,NA,NA,NA
10,18,1996,10:58,1207-64643,Red-tailed,A,NA,415,1175,28.3,33.2,230,NA,NA,NA,NA,NA
10,23,1996,9:25,1387-92101,Red-tailed,I,NA,354,980,25.8,29.3,220,NA,NA,NA,NA,NA
10,24,1996,10:35,1387-92102,Red-tailed,A,NA,417,1260,29,32.8,234,NA,NA,NA,NA,NA
10,24,1996,11:18,1387-92103,Red-tailed,I,NA,379,1050,25.9,31.3,226,NA,NA,NA,NA,NA
10,25,1996,10:40,1207-64644,Red-tailed,A,NA,412,1330,29.2,32.2,218,NA,NA,NA,NA,NA
10,27,1996,16:16,1387-92104,Red-tailed,A,NA,377,980,28,29.1,209,NA,NA,NA,NA,NA
10,28,1996,12:40,1387-92105,Red-tailed,I,NA,372,920,25.3,30,228,NA,NA,NA,NA,NA
10,30,1996,9:25, ,Red-tailed,I,NA,420,1540,29.9,35.5,235,NA,NA,NA,NA,NA
10,30,1996,11:30,1387-92106,Red-tailed,I,NA,368,1060,25.5,26.9,223,NA,NA,NA,NA,NA
11,1,1996,14:05,1207-64645,Red-tailed,I,NA,406,1420,29.9,32,245,NA,NA,NA,NA,NA
9,9,1997,12:01,1387-92125,Red-tailed,I,NA,392,1142,27.2,33,235,244,89.3,0,1,0
9,10,1997,14:35,1387-92127,Red-tailed,I,NA,365,813,26.2,30.1,221,224,86.6,0,0,0
9,17,1997,13:04,1387-92128,Red-tailed,I,NA,352,1024,26.6,30.3,216,225,90.2,0,0,0
9,21,1997,11:55,1387-92129,Red-tailed,I,NA,370,1023,25.8,30.1,216,228,82.8,1,0,0.25
9,23,1997,13:35,1202-72601,Red-tailed,I,NA,230,340,16.5,30.5,200,225,85.5,0,0,0.25
9,24,1997,11:20,1387-92130,Red-tailed,I,NA,364,917,26,29.6,216,225,85.1,0,0,0
9,25,1997,10:45,1387-92131,Red-tailed,I,NA,367,946,26.7,28.9,221,232,88.9,0,1,0
9,25,1997,11:00,1387-92132,Red-tailed,I,NA,233,337,15.7,31.9,196,225,87.4,0,0,0.5
9,26,1997,14:26,1387-92133,Red-tailed,I,NA,362,832,23.8,32.6,210,230,87.1,0,1,0
9,30,1997,12:10,1207-72602,Red-tailed,A,NA,368,1244,NA,NA,220,NA,NA,NA,NA,NA
9,30,1997,12:50,1387-92134,Red-tailed,I,NA,368,1244,26.7,30.2,220,228,85.4,1,1,0
10,1,1997,10:50,1387-92135,Red-tailed,I,NA,367,974,25.2,29.6,221,240,85.2,0,0,0
10,1,1997,11:58,1387-92136,Red-tailed,I,NA,400,1289,28.6,32.1,242,261,86.9,0,0,0
10,1,1997,12:25,1387-92137,Red-tailed,I,NA,379,999,28.3,32,220,238,90.1,0,1,0
10,1,1997,12:32,1387-92138,Red-tailed,I,NA,360,994,26.5,30.4,210,232,84.8,0,1,0
10,1,1997,12:57,1387-92139,Red-tailed,I,NA,362,1004,27,31.4,221,240,86.8,0,1,0
10,2,1997,11:52,1387-92140,Red-tailed,I,NA,378,1097,28.9,33.4,236,244,91.3,0,1,0
10,6,1997,14:08,1387-92141,Red-tailed,I,NA,372,1092,27.2,31.8,235,239,85.2,0,1,0
10,8,1997,10:00,1387-92142,Red-tailed,I,NA,369,1049,30.1,32,231,240,84.9,0,0,0
10,8,1997,11:52,1387-92143,Red-tailed,I,NA,354,998,27.2,29.2,227,234,81.7,1,1,0
10,9,1997,9:57,1387-92144,Red-tailed,I,NA,367,1091,31.8,34.2,238,249,91.7,0,0,0
10,9,1997,13:00,1387-92145,Red-tailed,I,NA,349,987,29,31.1,225,237,89,0,0,0
10,9,1997,13:27,1387-92146,Red-tailed,I,NA,375,1151,34.1,33.7,249,250,94,1,1,0.25
10,9,1997,14:27,1387-92147,Red-tailed,I,NA,343,971,25.1,26.1,213,224,79.3,0,0,0
10,9,1997,14:58,1387-92148,Red-tailed,I,NA,360,1159,32.9,34,240,252,91.2,1,1,0
10,10,1997,11:45,1387-92149,Red-tailed,I,NA,395,1239,26.7,33.2,231,243,90.3,0,2,0
10,10,1997,11:55,1397-92150,Red-tailed,I,NA,400,1216,28.5,32.1,227,239,84.4,0,2,0
10,14,1997,11:52,1387-92151,Red-tailed,I,NA,369,1039,26.9,29.5,223,245,87.4,1,2,0
10,14,1997,14:15,1387-92152,Red-tailed,I,NA,365,1079,25.2,30,228,239,86.2,0,0,0
10,16,1997,13:05,1387-92153,Red-tailed,A,NA,375,1159,33.8,32.7,242,252,91,1,0,0
10,20,1997,11:21,1387-92154,Red-tailed,A,NA,382,1403,34.9,34.7,247,259,92.5,0,1,1
10,20,1997,12:49,1387-92155,Red-tailed,A,NA,478,1473,39.2,44.7,267,272,NA,2,2,0.5
10,20,1997,13:05,1387-92157,Red-tailed,I,NA,469,1001,29.9,43.2,257,269,NA,1,0,0
10,21,1997,13:47,1387-92156,Red-tailed,I,NA,373,914,25.9,30.4,221,251,93.7,1,1,0.5
10,23,1997,12:10,1387-92158,Red-tailed,A,NA,386,1059,25.5,30.5,214,227,92.5,NA,1,0.5
10,23,1997,14:36,1207-72603,Red-tailed,I,NA,384,1147,29,35,229,236,91.9,NA,NA,NA
10,31,1997,11:00,1807-53127,Red-tailed,I,NA,351,949,26.8,29.7,213,216,NA,0,0,0
11,1,1997,12:21,1807-53128,Red-tailed,I,NA,363,973,24.8,27.3,213,220,84.1,0,1,0.75
11,3,1997,12:15,1387-92159,Red-tailed,A,NA,374,1064,26,32.1,201,210,85.2,1,1,0.5
11,3,1997,12:52,1807-53129,Red-tailed,I,NA,369,749,24,26.8,216,224,60.1,0,0,0
11,10,1997,12:30,1387-92160,Red-tailed,I,NA,374,1213,24.9,28,244,218,87.9,1,2,0
11,11,1997,11:10,1387-92161,Red-tailed,I,NA,389,1200,28.2,30.8,230,240,81.7,2,1,0
11,15,1997,12:54,1387-92162,Red-tailed,I,NA,379,1040,25.3,29.4,227,234,80.8,1,0,0
9,20,1998,14:45,1387-92166,Red-tailed,I,NA,373,919,24.2,28.5,233,NA,NA,NA,NA,NA
9,21,1998,11:45,1207-72604,Red-tailed,I,NA,403,1487,26,32.5,240,NA,NA,NA,NA,NA
10,1,1998,10:42,1207-72606,Red-tailed,I,NA,400,1254,25.2,30,237,NA,NA,NA,NA,NA
10,8,1998,10:45,1207-72607,Red-tailed,I,NA,405,1189,27.7,31.3,210,NA,NA,NA,NA,NA
10,8,1998,14:10,1387-92173,Red-tailed,I,NA,382,979,24.8,27.9,225,NA,NA,NA,NA,NA
10,9,1998,12:10,1387-92174,Red-tailed,I,NA,407,1339,27.3,33.4,246,NA,NA,NA,NA,NA
10,9,1998,12:25,1387-92175,Red-tailed,I,NA,403,1199,28.8,31,225,NA,NA,NA,NA,NA
10,10,1998,11:00,1207-72608,Red-tailed,I,NA,406,1344,27.9,33.1,230,NA,NA,NA,NA,NA
10,10,1998,12:05,1387-92196,Red-tailed,I,NA,381,969,26.1,31.1,220,NA,NA,NA,NA,NA
10,12,1998,10:15,1387-92177,Red-tailed,I,NA,395,1039,26,29.7,230,NA,NA,NA,NA,NA
10,12,1998,11:45,1207-72609,Red-tailed,I,NA,410,1054,28.5,31.5,233,NA,NA,NA,NA,NA
10,21,1998,10:40,1207-72610,Red-tailed,A,NA,425,1449,30.3,33,232,NA,NA,NA,NA,NA
10,22,1998,14:01,1387-92178,Red-tailed,I,NA,402,985,26.6,29.8,234,NA,NA,NA,NA,NA
10,26,1998,10:17,1387-92180,Red-tailed,A,NA,480,1598,34.2,35.4,239,NA,NA,NA,NA,NA
10,26,1998,12:15,1387-92181,Red-tailed,I,NA,412,992,30.1,31.5,230,NA,NA,NA,NA,NA
11,2,1998,11:55,1207-72611,Red-tailed,A,NA,381,1354,28.2,32,213,NA,NA,NA,NA,NA
11,3,1998,14:53,1207-72612,Red-tailed,A,NA,392,969,25.9,29,207,NA,NA,NA,NA,NA
11,4,1998,10:35,9387-92182,Red-tailed,I,NA,382,1080,25.3,31,214,NA,NA,NA,NA,NA
11,9,1998,1:31,1387-92183,Red-tailed,A,NA,391,1097,27.9,32.8,217,NA,NA,NA,NA,NA
11,11,1998,11:48,1207-72613,Red-tailed,A,NA,397,1439,28.8,31.4,216,NA,NA,NA,NA,NA
11,11,1998,12:52,1807-53130,Red-tailed,I,NA,361,NA,24.4,27.9,214,NA,NA,NA,NA,NA
11,11,1998,14:15,1387-92184,Red-tailed,I,NA,376,1019,25.8,29.5,216,NA,NA,NA,NA,NA
11,12,1998,14:00,1207-726114,Red-tailed,A,NA,410,1239,29.5,31.8,222,NA,NA,NA,NA,NA
11,18,1998,11:30,1207-72615,Red-tailed,I,NA,381,1399,27.6,31.3,288,NA,NA,NA,NA,NA
11,19,1998,13:07,1387-92185,Red-tailed,I,NA,396,1169,27.5,25.2,238,NA,NA,NA,NA,NA
11,20,1998,10:30,1387-92186,Red-tailed,I,NA,383,1164,27,29.9,199,NA,NA,NA,NA,NA
9,5,1999,11:35,1387-92187,Red-tailed,I,NA,271,NA,27.4,33,235,236,NA,NA,2,0
9,14,1999,15:30,1387-92188,Red-tailed,I,NA,392,890,24.1,29.2,219,200,NA,NA,0,1
9,18,1999,12:08,1207-72616,Red-tailed,I,NA,395,1215,28.3,33,236,240,NA,NA,2,1
9,18,1999,15:45,1387-92189,Red-tailed,I,NA,370,1030,27.6,31.4,225,227,NA,NA,2,0
9,21,1999,13:00,1387-92190,Red-tailed,I,NA,376,985,26.4,30.3,223,219,NA,NA,1,0
9,22,1999,10:55,1387-92191,Red-tailed,I,NA,372,975,26.5,31.6,225,220,NA,NA,1,0.5
9,23,1999,11:11,1207-72617,Red-tailed,I,NA,391,1165,28.2,32.4,241,241,NA,NA,1,1
9,24,1999,14:24,1387-92192,Red-tailed,I,NA,364,1044,23.5,29,210,222,NA,NA,1,1
9,25,1999,12:35,1387-92193,Red-tailed,I,M,381,1080,NA,32.3,223,216,NA,NA,NA,NA
9,25,1999,14:10,1387-92194,Red-tailed,I,NA,375,890,24.6,28,219,216,NA,NA,NA,NA
9,26,1999,12:55,1387-92195,Red-tailed,I,NA,392,1105,26.4,33.6,229,225,NA,NA,NA,NA
9,29,1999,13:08,1207-72618,Red-tailed,A,NA,398,1310,28.3,35.2,211,217,NA,NA,2,0
9,30,1999,9:20,1387-19197,Red-tailed,I,NA,371,895,26.8,31,204,206,NA,NA,1,0
9,30,1999,12:31,1387-19298,Red-tailed,A,NA,367,1060,26.8,31,204,206,NA,NA,3,1
10,2,1999,10:25,1387-19299,Red-tailed,A,NA,375,960,28.9,29.3,214,202,NA,NA,NA,NA
10,4,1999,13:21,1387-19220,Red-tailed,I,NA,408,1270,29.4,33,236,231,NA,NA,1,1
10,5,1999,10:43,1177-04601,Red-tailed,I,NA,399,1170,28.3,29.9,247,236,NA,NA,0,3
10,7,1999,12:40,1207-72619,Red-tailed,I,NA,388,1225,29,31.5,227,219,NA,NA,3,0
10,11,1999,15:00,1177-04699,Red-tailed,I,NA,370,1060,26.6,31.9,225,220,NA,NA,2,0
10,12,1999,11:05,1177-04602,Red-tailed,I,NA,363,850,25.5,30,220,216,NA,NA,0,0
10,12,1999,11:20,1177-04603,Red-tailed,I,NA,371,1145,25.5,10.3,215,214,NA,NA,2,1
10,14,1999,9:23,1177-04604,Red-tailed,I,NA,386,1090,26.1,28.2,226,225,NA,NA,2,0.5
10,14,1999,9:52,1207-72620,Red-tailed,I,NA,400,1345,32.6,33.9,227,233,NA,NA,3,0.25
10,14,1999,13:15,1177-04605,Red-tailed,I,NA,390,1050,26.6,29,236,232,NA,NA,1,1
10,15,1999,10:08,1177-14606,Red-tailed,A,NA,382,1040,27.1,30.8,210,203,NA,NA,1,0
10,15,1999,11:29,1177-04607,Red-tailed,I,NA,354,965,26.2,28.5,226,222,NA,NA,2,0
10,15,1999,12:27,1177-04608,Red-tailed,I,NA,403,1105,28.9,33.2,242,236,NA,NA,1,0
10,15,1999,14:08,1177-04609,Red-tailed,I,NA,375,1045,27.2,30,221,214,NA,NA,2,1
10,15,1999,14:39,1807-53131,Red-tailed,I,NA,369,900,24.4,27.3,220,212,NA,NA,2,0
10,15,1999,15:33,1177-04610,Red-tailed,I,NA,368,1015,25.7,30.3,219,216,NA,NA,2,0
10,16,1999,13:05,1177-04611,Red-tailed,A,NA,393,1385,27.9,32.6,225,222,NA,NA,2,0
10,20,1999,11:28,1177-04612,Red-tailed,I,NA,370,1165,26,31.5,221,212,NA,NA,2,0.25
10,20,1999,13:07,1177-04613,Red-tailed,I,NA,378,905,28,32.3,215,216,NA,NA,0,0
10,21,1999,11:50,1177-04614,Red-tailed,I,NA,369,985,26,31.1,223,228,NA,NA,2,0
10,21,1999,13:56,1807-53132,Red-tailed,I,NA,364,800,25.5,28.6,219,211,NA,NA,2,0
10,22,1999,9:40,1177-06415,Red-tailed,I,NA,387,995,26.9,31.4,235,226,NA,NA,2,0
10,23,1999,10:40,1207-72621,Red-tailed,A,NA,410,1460,29.4,33.6,216,221,NA,NA,2,1
10,25,1999,14:00,1207-72622,Red-tailed,A,NA,410,1585,30.6,39.8,130,251,NA,NA,3,0
10,27,1999,12:55,1177-04616,Red-tailed,I,NA,373,920,25,28.3,223,226,NA,NA,2,0
11,1,1999,12:55,1207-72623,Red-tailed,I,NA,390,1460,29.3,35.6,221,234,NA,NA,1,0.5
11,2,1999,10:00,1207-72624,Red-tailed,A,NA,404,1315,30,32.5,220,245,NA,NA,1,0
11,2,1999,11:35,1177-04617,Red-tailed,I,NA,375,1019,26,29.9,186,205,NA,NA,0,1
11,3,1999,10:27,1207-72625,Red-tailed,I,NA,395,1215,29.7,31.3,217,223,NA,NA,2,0
11,3,1999,14:30,1177-04618,Red-tailed,I,NA,379,1005,27.8,31.4,209,224,NA,NA,1,0
11,4,1999,12:15,1207-72626,Red-tailed,I,NA,382,1350,27.9,29.9,215,217,NA,NA,2,0
11,4,1999,14:00,1207-72627,Red-tailed,I,NA,404,1145,27.7,31.8,214,226,NA,NA,1,0
11,5,1999,14:10,1177-04619,Red-tailed,A,NA,377,1010,25.4,29,207,214,NA,NA,0,0.5
11,8,1999,12:25,1177-04620,Red-tailed,I,NA,390,1120,26.6,30,210,225,NA,NA,1,0.5
11,9,1999,10:25,1177-14621,Red-tailed,A,NA,404,280,28.2,31.55,224,226,NA,NA,3,0
11,10,1999,10:15,1177-04622,Red-tailed,I,NA,351,775,25.4,29.3,200,215,NA,NA,1,0
11,10,1999,12:45,1207-72628,Red-tailed,I,NA,394,1210,29.4,31.7,207,227,NA,NA,2,0
11,12,1999,13:50,1807-53133,Red-tailed,A,NA,372,909,24.4,25.4,212,216,NA,NA,2,0.25
11,13,1999,11:30,1177-04623,Red-tailed,I,NA,376,1145,25.1,31.55,226,234,NA,NA,2,0.75
11,13,1999,12:05,1177-04624,Red-tailed,I,NA,399,1150,27.2,29.55,232,243,NA,NA,2,0
11,17,1999,13:11,1207-72629,Red-tailed,I,NA,399,1560,30,33.85,228,232,NA,NA,3,1
11,19,1999,9:58,1177-04625,Red-tailed,I,NA,357,940,23.6,28.35,205,212,NA,NA,3,0
9,7,2000,13:25,1207-22630,Red-tailed,I,NA,400,1089,27.3,33.1,228,238,NA,NA,1,0.5
9,9,2000,9:29,1207-72631,Red-tailed,I,NA,382,1194,29.4,33.8,237,234,NA,NA,1,0
9,13,2000,9:35,1177-04626,Red-tailed,I,NA,390,1015,28,30.1,230,220,NA,NA,2,0
9,13,2000,10:35,1177-04627,Red-tailed,I,NA,379,975,24.1,29.1,219,227,NA,NA,2,0
9,13,2000,11:35,1177-04628,Red-tailed,I,NA,376,1035,26.8,30.5,223,234,NA,NA,2,5
9,13,2000,12:10,1177-04629,Red-tailed,A,NA,331,1055,27,30.4,210,223,NA,NA,2,1
9,13,2000,14:02,1177-04630,Red-tailed,I,NA,371,945,26.1,30.2,222,226,NA,NA,1,0
9,15,2000,14:12,1177-04631,Red-tailed,I,NA,361,785,25.2,28.7,201,211,NA,NA,1,0.5
9,18,2000,12:05,1207-72632,Red-tailed,I,NA,394,1220,30.3,34.5,234,234,NA,NA,1,0
9,18,2000,13:39,1207-77633,Red-tailed,A,NA,358,1025,27.4,29,204,201,NA,NA,1,1
9,18,2000,14:33,1177-04632,Red-tailed,I,NA,380,1000,26.9,29,204,217,NA,NA,3,1
9,21,2000,11:35,1207-72634,Red-tailed,I,NA,397,1210,28.3,34,224,219,NA,NA,2,0.5
9,25,2000,12:06,1207-72635,Red-tailed,I,NA,392,1185,28.5,33,229,234,NA,NA,2,0
9,25,2000,14:52,1207-72636,Red-tailed,A,NA,406,NA,27,31.1,222,224,NA,NA,2,0.5
9,26,2000,10:35,1177-04633,Red-tailed,I,NA,363,950,24.6,30.3,214,219,NA,NA,2,0
9,26,2000,12:10,1177-04634,Red-tailed,I,NA,374,895,26.4,30.8,219,227,NA,NA,2,0
9,26,2000,12:40,1177-04635,Red-tailed,I,NA,412,1150,27.8,33.2,230,240,NA,NA,1,0.25
9,26,2000,14:25,1177-04636,Red-tailed,I,NA,388,950,26.5,32.2,230,235,NA,NA,2,0
9,27,2000,11:30,1177-04637,Red-tailed,I,NA,371,990,26.9,29.7,217,221,NA,NA,2,0
9,27,2000,13:00,1207-72637,Red-tailed,I,NA,391,1120,29,33.9,225,236,NA,NA,2,0.25
9,29,2000,10:25,1207-72638,Red-tailed,I,F,410,1120,28.5,33.6,229,237,NA,NA,2,0.5
9,29,2000,11:47,1177-04638,Red-tailed,I,NA,368,820,25.2,28.7,215,205,NA,NA,2,0
9,29,2000,13:00,1177-04639,Red-tailed,I,F,410,1200,26.7,29.4,247,255,NA,NA,2,0
9,29,2000,13:30,1207-74639,Red-tailed,A,F,425,1120,29.4,33.3,222,227,NA,NA,2,0
9,30,2000,13:30,1177-04640,Red-tailed,I,NA,368,1120,24.7,30.8,220,224,NA,NA,2,1
9,30,2000,15:01,1207-74640,Red-tailed,I,NA,392,1220,27.3,34.1,234,237,NA,NA,1,0
10,1,2000,14:50,1207-72641,Red-tailed,I,NA,418,1310,29.1,31.9,248,255,NA,NA,2,0.5
10,2,2000,13:20,1177-04641,Red-tailed,I,NA,370,920,26.8,29.7,221,223,NA,NA,3,0
10,4,2000,10:40,1177-04642,Red-tailed,A,NA,370,955,26.5,30.5,218,223,NA,NA,2,0
10,4,2000,11:56,1207-72642,Red-tailed,A,NA,408,1225,28.8,32.7,225,225,NA,NA,2,0
10,6,2000,12:59,1207-72643,Red-tailed,A,NA,393,1400,27.9,35.3,215,221,NA,NA,3,0
10,7,2000,9:55,1177-04643,Red-tailed,I,NA,365,1025,24.6,30.1,225,224,NA,NA,1,0
10,7,2000,10:27,1207-72644,Red-tailed,I,NA,405,1140,28.2,31.9,244,249,NA,NA,1,0
10,7,2000,10:43,1207-72645,Red-tailed,I,NA,381,1080,26.1,31.6,232,233,NA,NA,0,0
10,7,2000,12:24,1177-04644,Red-tailed,I,NA,390,1135,27.6,31.1,238,239,NA,NA,2,0
10,7,2000,15:12,1207-72646,Red-tailed,I,NA,384,1430,29.8,35,231,235,NA,NA,1,0.25
10,8,2000,12:25,1177-04645,Red-tailed,I,NA,390,1050,25.6,29.9,218,221,NA,NA,1,0.25
10,8,2000,13:29,1177-04646,Red-tailed,I,NA,381,920,27,29.6,223,226,NA,NA,1,0.25
10,9,2000,14:00,1807-82702,Red-tailed,I,NA,371,905,23.6,26.8,197,204,NA,NA,3,0.5
10,9,2000,14:26,1177-04647,Red-tailed,I,NA,356,915,26.4,28.9,195,204,NA,NA,2,0
10,9,2000,14:38,1177-04648,Red-tailed,I,NA,377,910,25,29,206,217,NA,NA,1,0
10,10,2000,13:57,1177-04649,Red-tailed,I,NA,362,950,25.4,29.7,213,215,NA,NA,2,0.5
10,12,2000,13:35,1207-72647,Red-tailed,I,NA,400,1225,27.3,34.2,222,233,NA,NA,2,0
10,13,2000,9:58,1207-72648,Red-tailed,I,NA,387,1090,27.9,32.4,227,227,NA,NA,2,0
10,13,2000,11:08,1207-72649,Red-tailed,I,NA,409,1350,30,32.7,235,245,NA,NA,2,0
10,14,2000,12:07,1177-04650,Red-tailed,I,NA,385,940,26.2,30.5,228,235,NA,NA,2,0
10,14,2000,13:07,1807-82703,Red-tailed,I,NA,377,920,24.7,29.3,219,225,NA,NA,2,0
10,14,2000,13:12,1177-04651,Red-tailed,I,NA,400,1190,29.4,33.3,231,237,NA,NA,2,0
10,17,2000,15:03,1177-04652,Red-tailed,I,NA,363,915,25,28.3,209,219,NA,NA,2,0
10,18,2000,14:28,1177-04653,Red-tailed,I,NA,403,1310,29.1,33.3,237,241,NA,NA,2,0
10,19,2000,12:14,1177-04654,Red-tailed,I,NA,375,950,26.9,30.1,210,211,NA,NA,2,0
10,20,2000,9:48,1177-04655,Red-tailed,I,NA,373,975,26.1,27.9,215,221,NA,NA,2,0
10,20,2000,11:46,1177-04656,Red-tailed,I,NA,373,990,27.9,31,217,219,NA,NA,2,0
10,20,2000,14:12,1177-04657,Red-tailed,A,NA,373,1270,26.5,29.6,207,210,NA,NA,2,0
10,20,2000,14:27,1807-82704,Red-tailed,I,NA,354,960,26,31,211,213,NA,NA,3,0.25
10,20,2000,14:45,1207-72650,Red-tailed,I,NA,394,1290,28.8,30.7,225,232,NA,NA,2,0
10,21,2000,14:12,1177-04658,Red-tailed,I,NA,377,1045,26.9,31.5,223,225,NA,NA,2,0
10,25,2000,12:51,1177-04659,Red-tailed,I,NA,364,1090,27.1,30.3,218,223,NA,NA,2,1
10,25,2000,13:45,1177-04660,Red-tailed,I,NA,385,1180,28.6,30,222,225,NA,NA,2,0
10,26,2000,9:21,1177-04661,Red-tailed,I,NA,390,1195,27.6,34.7,235,237,NA,NA,2,0
10,26,2000,10:53,1177-04662,Red-tailed,A,NA,383,1055,27.7,32.7,208,208,NA,NA,2,0
10,26,2000,12:53,1177-04663,Red-tailed,I,NA,365,1025,26.1,30.3,216,223,NA,NA,2,0
10,27,2000,13:15,1177-04664,Red-tailed,I,NA,376,940,25.1,31.7,217,220,NA,NA,2,0
10,27,2000,14:49,1207-72651,Red-tailed,A,NA,402,1335,28.3,33.3,219,217,NA,NA,2,0.25
10,29,2000,9:45,1177-04665,Red-tailed,I,NA,394,1085,29.4,32.7,235,230,NA,NA,1,0.25
10,30,2000,11:20,1177-04666,Red-tailed,A,NA,378,1090,28,30.9,212,217,NA,NA,2,0.25
11,1,2000,12:08,1177-04667,Red-tailed,I,NA,369,995,26,28.2,211,225,NA,NA,2,0
11,1,2000,13:16,1177-04668,Red-tailed,A,NA,378,1090,28,30.7,201,209,NA,NA,1,0.5
11,2,2000,9:55,1177-04669,Red-tailed,A,NA,262,1020,28,31.2,200,207,NA,NA,2,0
11,2,2000,12:47,1177-04670,Red-tailed,A,NA,379,1000,28.6,32.2,217,224,NA,NA,1,0
11,3,2000,9:42,1177-04671,Red-tailed,I,NA,380,1085,27.4,33.3,223,225,NA,NA,1,0
11,4,2000,11:20,1177-04672,Red-tailed,A,NA,380,1045,24.9,27,199,206,NA,NA,2,0
11,4,2000,13:10,1177-04673,Red-tailed,I,NA,393,1060,27.7,32.4,217,225,NA,NA,1,0
