Latin_name,Family,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),gs_mmol/ms,Tl_(˚C),Notes
Ginoria glabra,Lythraceae,7,32.35,84.95,732,0.1,NA,33.2,
Ginoria glabra,Lythraceae,7,32.55,82.35,822,0.1,52.1,39.8,
Ginoria glabra,Lythraceae,7,33.77,80.6,700,0.7,469.9,38.8,
Ginoria glabra,Lythraceae,7,33.77,83.8,955,0.1,158.4,41,
Ginoria glabra,Lythraceae,8,33.73,91.77,243,0.1,NA,31.6,
Ginoria glabra,Lythraceae,8,34.6,75.9,838,0.1,230.2,39.2,
Ginoria glabra,Lythraceae,8,33.47,77.4,956,0.1,232.8,41.2,
Ginoria glabra,Lythraceae,8,33.77,85.9,877,0.1,76.5,41.2,
Ginoria glabra,Lythraceae,8,33.33,86.73,825,0.1,312.7,39.6,
Ginoria glabra,Lythraceae,8,34.07,86.13,829,0.1,799.6,36,
Ginoria glabra,Lythraceae,8,32.55,82.35,944,0.1,82.5,40.6,
Ginoria glabra,Lythraceae,8,32.35,84.95,585,0.1,701,32.6,
Ginoria glabra,Lythraceae,8,33.77,83.8,976,0.1,264.5,42.4,
Ginoria glabra,Lythraceae,8,33.77,80.6,881,0.6,317.8,35.6,
Ginoria glabra,Lythraceae,8,34.07,83.27,907,0.1,440.9,38.2,
Hamelia patens,Rubiaceae,1,35.3,73.67,941,0.1,NA,35.6,
Hamelia patens,Rubiaceae,1,34.13,75.43,724,0.1,NA,35.2,
Hamelia patens,Rubiaceae,1,31,95.67,601,0.1,679.9,32.2,
Hamelia patens,Rubiaceae,1,32.17,83.87,666,0.1,1464.9,30.2,
Hamelia patens,Rubiaceae,1,34.33,77.3,174,0.4,1073.9,29.6,
Hamelia patens,Rubiaceae,1,35.17,70.7,873,0.1,1277.7,33,
Hamelia patens,Rubiaceae,1,32.13,90.77,848,0.1,895.6,34,
Hamelia patens,Rubiaceae,1,34.07,81.83,984,0.1,808.2,36.8,
Hamelia patens,Rubiaceae,1,35.67,71.17,660,0.1,NA,35.8,
Hamelia patens,Rubiaceae,1,33.73,85.5,645,0.1,1185.9,32.4,
Hamelia patens,Rubiaceae,2,32.17,83.87,932,0.1,1362.8,33.8,
Hamelia patens,Rubiaceae,2,34.33,77.3,220,0.6,1105,30.2,
Hamelia patens,Rubiaceae,2,35.3,73.67,942,0.1,1090.6,37.2,
Hamelia patens,Rubiaceae,2,31,95.67,230,0.1,538.5,30.2,
Hamelia patens,Rubiaceae,2,34.07,81.83,1001,0.3,946.8,34,
Hamelia patens,Rubiaceae,2,32.13,90.77,106,0.1,621.3,31.8,
Hamelia patens,Rubiaceae,2,35.17,70.7,985,0.1,NA,33.4,
Hamelia patens,Rubiaceae,2,35.67,71.17,585,0.4,804.5,33.2,
Hamelia patens,Rubiaceae,2,34.13,75.43,639,0.1,426.7,33.8,
Hamelia patens,Rubiaceae,2,33.73,85.5,1021,0.6,1231.7,32,
Hamelia patens,Rubiaceae,3,48,71.17,966,0.4,993.3,34.2,Temperature gage on ground
Hamelia patens,Rubiaceae,3,47,75.43,530,0.1,1043.1,33.2,
Hamelia patens,Rubiaceae,3,48.2,70.7,933,0.1,1481.7,34.8,
Hamelia patens,Rubiaceae,3,44.6,85.5,574,0.5,1315.4,31.4,
Hamelia patens,Rubiaceae,3,54,90.77,530,0.1,NA,31.8,
Hamelia patens,Rubiaceae,3,34.33,77.3,350,0.4,NA,33,
Hamelia patens,Rubiaceae,3,34.07,81.83,889,0.1,994,35,
Hamelia patens,Rubiaceae,3,35.3,73.67,884,0.5,NA,35.8,
Hamelia patens,Rubiaceae,3,32.17,83.87,762,0.1,NA,31.6,
Hamelia patens,Rubiaceae,3,31,95.67,444,0.1,785.8,32.8,
Hamelia patens,Rubiaceae,4,34.33,77.3,450,0.1,NA,34,
Hamelia patens,Rubiaceae,4,32.13,90.77,746,0.1,789.6,30.4,
Hamelia patens,Rubiaceae,4,35.3,73.67,761,0.1,1300.2,34.2,
Hamelia patens,Rubiaceae,4,31,95.67,495,0.1,987.8,31.8,
Hamelia patens,Rubiaceae,4,34.07,81.83,899,0.1,NA,35.8,
Hamelia patens,Rubiaceae,4,34.13,75.43,754,0.1,NA,32.2,
Hamelia patens,Rubiaceae,4,35.67,71.17,652,0.1,1026.3,34.2,
Hamelia patens,Rubiaceae,4,35.17,70.7,1011,0.1,1485.1,34.6,
Hamelia patens,Rubiaceae,4,32.17,83.87,1015,0.1,1659,34.6,
Hamelia patens,Rubiaceae,4,33.73,85.5,985,0.1,1374.1,37.8,
Hamelia patens,Rubiaceae,5,34.13,75.43,853,0.1,1209.4,32.4,
Hamelia patens,Rubiaceae,5,35.67,71.17,972,0.1,662,35.2,
Hamelia patens,Rubiaceae,5,32.17,83.87,852,0.1,1272.4,34.4,
Hamelia patens,Rubiaceae,5,35.17,70.7,822,0.1,NA,34,
Hamelia patens,Rubiaceae,5,33.73,85.5,903,0.3,1555.2,33.6,
Hamelia patens,Rubiaceae,5,34.07,81.83,689,0.1,945.3,35.2,
Hamelia patens,Rubiaceae,5,32.13,90.77,277,0.1,NA,31.4,
Hamelia patens,Rubiaceae,5,31,95.67,688,0.1,NA,30,
Hamelia patens,Rubiaceae,5,35.3,73.67,869,0.1,1066.9,37,
Hamelia patens,Rubiaceae,5,34.33,77.3,1025,0.1,1155,33,
Hamelia patens,Rubiaceae,6,35.67,71.17,909,0.1,NA,37.2,
Hamelia patens,Rubiaceae,6,31,95.67,281,0.1,NA,29.8,
Hamelia patens,Rubiaceae,6,34.33,77.3,760,0.5,982.4,30.2,
Hamelia patens,Rubiaceae,6,35.3,73.67,975,0.1,735.8,38.2,
Hamelia patens,Rubiaceae,6,34.13,75.43,769,0.1,1149.8,34.2,
Hamelia patens,Rubiaceae,6,34.07,81.83,989,0.1,NA,34.4,
Hamelia patens,Rubiaceae,6,33.73,85.5,793,0.1,1209.9,32.6,
Hamelia patens,Rubiaceae,6,35.17,70.7,902,0.1,NA,34,
Hamelia patens,Rubiaceae,6,32.17,83.87,781,0.1,NA,31.6,
Hamelia patens,Rubiaceae,7,33.73,85.5,935,0.1,1309.9,31.2,
Hamelia patens,Rubiaceae,8,34.13,75.43,949,0.1,1094.7,32,
Hamelia patens,Rubiaceae,8,35.67,71.17,928,0.1,737.8,33.6,
Hamelia patens,Rubiaceae,8,35.3,73.67,803,0.5,825.3,33.4,
Hamelia patens,Rubiaceae,8,31,95.67,528,0.1,738.6,32.6,
Hamelia patens,Rubiaceae,8,32.17,83.87,977,0.1,1188.2,33.6,
Hamelia patens,Rubiaceae,8,32.13,90.77,128,0.1,853.2,33.8,
Hamelia patens,Rubiaceae,8,33.73,85.5,506,0.1,NA,35,
Hamelia patens,Rubiaceae,8,35.17,70.7,920,0.4,1321.1,33.4,
Hamelia patens,Rubiaceae,8,34.07,81.83,588,0.1,1007.1,32.8,
Hamelia patens,Rubiaceae,8,34.33,77.3,954,0.1,1132.4,32.2,
Hibiscus boryanus,Malvaceae,1,32.87,81.8,603,0.1,158.4,37.4,
Hibiscus boryanus,Malvaceae,1,30.53,99.43,170,0.1,383.8,29.6,
Hibiscus boryanus,Malvaceae,1,33.37,83.93,965,0.1,280.8,35.2,
Hibiscus boryanus,Malvaceae,1,33.67,78.43,949,0.1,NA,38.2,
Hibiscus boryanus,Malvaceae,1,33.33,74.43,169,0.7,178.6,32,
Hibiscus boryanus,Malvaceae,1,34.3,73.5,106,0.6,NA,31.1,
Hibiscus boryanus,Malvaceae,1,34.53,72.4,996,0.1,308.8,39.6,
Hibiscus boryanus,Malvaceae,2,34.53,72.4,688,0.1,96.4,37.8,
Hibiscus boryanus,Malvaceae,2,32.87,81.8,231,0.1,NA,32.4,
Hibiscus boryanus,Malvaceae,2,33.67,78.43,987,0.1,304.4,38.2,
Hibiscus boryanus,Malvaceae,2,33.33,74.43,578,0.1,148.3,32.8,
Hibiscus boryanus,Malvaceae,2,32.83,76.67,205,0.1,108.2,34,
Hibiscus boryanus,Malvaceae,2,30.53,99.43,133,0.1,340.6,29.6,
Hibiscus boryanus,Malvaceae,2,33.37,83.93,928,0.1,NA,35.6,
Hibiscus boryanus,Malvaceae,3,33.67,78.43,979,0.1,NA,39.4,
Hibiscus boryanus,Malvaceae,3,32.87,81.8,405,0.1,326.5,32,
Hibiscus boryanus,Malvaceae,3,34.53,72.4,988,0.1,89.9,38.6,
Hibiscus boryanus,Malvaceae,3,33.33,74.43,575,0.5,NA,33.2,
Hibiscus boryanus,Malvaceae,3,32.83,76.67,280,0.1,NA,32.2,
Hibiscus boryanus,Malvaceae,3,33.37,83.93,911,0.1,NA,35.2,
Hibiscus boryanus,Malvaceae,4,33.37,83.93,743,0.1,363.5,36.6,
Hibiscus boryanus,Malvaceae,4,33.33,74.43,870,0.1,70.4,41.8,
Hibiscus boryanus,Malvaceae,4,33.67,78.43,670,0.1,187.3,39,
Hibiscus boryanus,Malvaceae,4,32.87,81.8,530,0.4,NA,37.3,
Hibiscus boryanus,Malvaceae,4,32.83,76.67,1004,0.4,103,37.2,
Hibiscus boryanus,Malvaceae,4,34.53,72.4,985,0.6,121,38.2,
Hibiscus boryanus,Malvaceae,5,32.87,81.8,385,0.5,NA,35.8,
Hibiscus boryanus,Malvaceae,5,33.67,78.43,569,0.1,206.4,38.6,
Hibiscus boryanus,Malvaceae,5,34.53,72.4,1028,0.4,174.9,35.2,
Hibiscus boryanus,Malvaceae,5,32.83,76.67,559,0.5,NA,35.5,
Hibiscus boryanus,Malvaceae,5,33.13,78.63,171,0.3,159.4,32.2,
Hibiscus boryanus,Malvaceae,5,33.37,83.93,409,0.1,450.2,35.4,
Hibiscus boryanus,Malvaceae,5,34.3,73.5,933,0.6,85.9,35.2,
Hibiscus boryanus,Malvaceae,5,33.33,74.43,623,0.1,200.9,36.4,
Hibiscus boryanus,Malvaceae,6,32.87,81.8,788,0.1,189.3,38,
Hibiscus boryanus,Malvaceae,6,33.33,74.43,800,0.1,192.3,42.4,
Hibiscus boryanus,Malvaceae,6,34.53,72.4,962,0.9,242.9,39.6,
Hibiscus boryanus,Malvaceae,6,33.13,78.63,160,0.1,NA,33.2,
Hibiscus boryanus,Malvaceae,6,33.67,78.43,951,0.1,NA,41.2,
Hibiscus boryanus,Malvaceae,6,34.3,73.5,915,0.1,NA,37.2,
Hibiscus boryanus,Malvaceae,6,32.83,76.67,623,0.3,151.5,37.8,
Hibiscus boryanus,Malvaceae,6,33.37,83.93,805,0.1,163.3,36.2,
Hibiscus boryanus,Malvaceae,7,32.83,76.67,117,0.2,NA,38.2,
Hibiscus boryanus,Malvaceae,7,32.87,81.8,829,0.1,263.8,39.4,
Hibiscus boryanus,Malvaceae,7,33.37,83.93,761,0.1,359.1,36.2,
Hibiscus boryanus,Malvaceae,7,33.13,78.63,1002,0.1,262.1,41.8,
Hibiscus boryanus,Malvaceae,7,33.33,74.43,136,0.1,NA,31.8,
Hibiscus boryanus,Malvaceae,7,34.53,72.4,989,0.6,221.1,39.4,
Hibiscus boryanus,Malvaceae,7,33.67,78.43,931,0.6,332,35.2,
Hibiscus boryanus,Malvaceae,7,34.3,73.5,981,0.7,285,42.2,
Hibiscus boryanus,Malvaceae,8,33.33,74.43,420,0.1,NA,22,leaf temp gage fell off
Hibiscus boryanus,Malvaceae,8,34.53,72.4,775,0.4,258.5,22,leaf temp gage fell off
Hibiscus boryanus,Malvaceae,8,33.37,83.93,578,0.1,NA,22,leaf temp gage fell off
Hibiscus boryanus,Malvaceae,8,32.83,76.67,256,0.8,NA,22,leaf temp gage fell off
Hibiscus boryanus,Malvaceae,8,33.67,78.43,714,0.1,452.6,22,leaf temp gage fell off
Hibiscus boryanus,Malvaceae,8,32.87,81.8,900,0.1,159.9,22,leaf temp gage fell off
Hibiscus boryanus,Malvaceae,8,33.13,78.63,763,0.1,138.1,22,leaf temp gage fell off
Justicia brandegeeana,Acanthaceae,1,34.27,78.53,1015,0.1,312,39.6,
Justicia brandegeeana,Acanthaceae,1,33.97,82.5,688,0.1,969.8,36.2,
Justicia brandegeeana,Acanthaceae,1,32.43,79.1,114,0.1,497.4,32.6,
Justicia brandegeeana,Acanthaceae,1,34.37,74.97,1000,0.1,NA,41.6,
Justicia brandegeeana,Acanthaceae,1,33.07,87.57,910,0.1,738.9,37.2,
Justicia brandegeeana,Acanthaceae,1,30.3,97.03,729,0.1,164.3,38.4,
Justicia brandegeeana,Acanthaceae,1,34.5,83.93,1001,0.1,NA,38.6,
Justicia brandegeeana,Acanthaceae,1,36.27,62.73,150,0.1,NA,32,
Justicia brandegeeana,Acanthaceae,2,34.37,74.97,1002,0.1,1344.8,37.4,
Justicia brandegeeana,Acanthaceae,2,36.27,62.73,670,0.1,710.1,34.6,
Justicia brandegeeana,Acanthaceae,2,34.27,78.53,977,0.1,935.2,33.6,
Justicia brandegeeana,Acanthaceae,2,33.97,82.5,955,0.1,NA,34.8,
Justicia brandegeeana,Acanthaceae,2,34.5,83.93,1005,0.1,565.4,36.4,
Justicia brandegeeana,Acanthaceae,2,33.07,87.57,948,0.1,1088.4,37.6,
Justicia brandegeeana,Acanthaceae,2,32.43,79.1,426,0.1,504.6,34.2,
Justicia brandegeeana,Acanthaceae,3,33.97,82.5,1004,0.1,1125.9,38.2,
Justicia brandegeeana,Acanthaceae,3,34.37,74.97,985,0.1,NA,36.8,
Justicia brandegeeana,Acanthaceae,3,34.27,78.53,801,0.1,879.3,37.2,
Justicia brandegeeana,Acanthaceae,3,36.27,62.73,964,0.1,750.5,37.8,
Justicia brandegeeana,Acanthaceae,3,33.07,87.57,998,0.1,1130.6,37.6,
Justicia brandegeeana,Acanthaceae,3,32.43,79.1,402,0.1,NA,36.2,
Justicia brandegeeana,Acanthaceae,3,34.5,83.93,984,0.1,810.7,35.4,
Justicia brandegeeana,Acanthaceae,4,33.97,82.5,995,0.1,NA,39.6,
Justicia brandegeeana,Acanthaceae,4,34.37,74.97,1000,0.1,955.6,38,
Justicia brandegeeana,Acanthaceae,4,32.43,79.1,450,0.1,462.1,36.4,
Justicia brandegeeana,Acanthaceae,4,34.5,83.93,786,0.1,573.7,32.8,
Justicia brandegeeana,Acanthaceae,4,36.27,62.73,872,0.1,NA,35.6,
Justicia brandegeeana,Acanthaceae,4,34.27,78.53,848,0.1,955.4,37,
Justicia brandegeeana,Acanthaceae,4,33.07,87.57,622,0.1,1051.4,33.8,
Justicia brandegeeana,Acanthaceae,5,34.27,78.53,807,0.1,NA,36.4,
Justicia brandegeeana,Acanthaceae,5,34.37,74.97,942,0.1,NA,35,
Justicia brandegeeana,Acanthaceae,5,33.07,87.57,728,0.1,880.3,31,
Justicia brandegeeana,Acanthaceae,5,36.27,62.73,975,0.1,844.4,35.6,
Justicia brandegeeana,Acanthaceae,5,34.5,83.93,721,0.1,NA,33.6,
Justicia brandegeeana,Acanthaceae,5,32.43,79.1,883,0.1,NA,37.8,
Justicia brandegeeana,Acanthaceae,5,33.97,82.5,1003,0.1,1165.2,35.4,
Justicia brandegeeana,Acanthaceae,6,34.5,83.93,202,0.1,620,31.4,
Justicia brandegeeana,Acanthaceae,6,36.27,62.73,985,0.1,552.4,36.6,
Justicia brandegeeana,Acanthaceae,6,33.97,82.5,1010,0.1,1074.5,38.2,
Justicia brandegeeana,Acanthaceae,6,33.07,87.57,677,0.1,1116.4,32.2,
Justicia brandegeeana,Acanthaceae,6,34.37,74.97,999,0.1,1184.8,37.4,
Justicia brandegeeana,Acanthaceae,6,34.27,78.53,983,0.4,358.8,40.4,
Justicia brandegeeana,Acanthaceae,6,32.43,79.1,124,0.1,284.4,32.2,
Justicia brandegeeana,Acanthaceae,7,33.97,82.5,999,0.1,1005.8,36.4,
Justicia brandegeeana,Acanthaceae,7,34.5,83.93,157,0.1,537.4,31.6,
Justicia brandegeeana,Acanthaceae,7,34.37,74.97,955,0.1,930.6,38.6,
Justicia brandegeeana,Acanthaceae,7,33.07,87.57,453,0.1,945.9,31.2,
Justicia brandegeeana,Acanthaceae,7,34.27,78.53,892,0.1,NA,38.2,
Justicia brandegeeana,Acanthaceae,7,36.27,62.73,694,0.1,488.3,36.4,
Justicia brandegeeana,Acanthaceae,7,32.43,79.1,535,0.1,282.6,37.8,
Phaleria macrocarpa,Thymelaceae,1,35.3,80.57,971,0.1,330.8,40.4,
Phaleria macrocarpa,Thymelaceae,1,31.77,88.43,615,0.1,203.7,37.8,
Phaleria macrocarpa,Thymelaceae,1,31.8,90.33,917,1,235.3,39.2,
Phaleria macrocarpa,Thymelaceae,1,31.7,85.23,937,0.1,225.3,38.6,
Phaleria macrocarpa,Thymelaceae,1,31.5,91.27,139,0.1,205.8,31.6,
Phaleria macrocarpa,Thymelaceae,1,31.73,96.43,108,0.1,128.9,31.8,
Phaleria macrocarpa,Thymelaceae,1,31.97,88.97,498,0.1,56.8,34.2,
Phaleria macrocarpa,Thymelaceae,1,31.9,92.2,102,0.1,54.1,32,
Phaleria macrocarpa,Thymelaceae,2,31.8,90.33,781,0.1,429.6,37.6,
Phaleria macrocarpa,Thymelaceae,2,35.3,80.57,997,0.4,383.5,39.8,
Phaleria macrocarpa,Thymelaceae,2,31.77,88.43,603,0.1,356.8,35.6,
Phaleria macrocarpa,Thymelaceae,2,31.73,96.43,107,0.1,360,31.6,
Phaleria macrocarpa,Thymelaceae,2,31.7,85.23,944,0.1,NA,37.6,
Phaleria macrocarpa,Thymelaceae,2,31.5,91.27,608,0.1,358.5,35.8,
Phaleria macrocarpa,Thymelaceae,2,31.97,88.97,480,0.1,144.8,35.8,
Phaleria macrocarpa,Thymelaceae,3,31.8,90.33,895,0.1,NA,38.8,
Phaleria macrocarpa,Thymelaceae,3,31.77,88.43,631,0.1,304.9,36.8,
Phaleria macrocarpa,Thymelaceae,3,31.9,92.2,316,0.1,61.1,33.2,
Phaleria macrocarpa,Thymelaceae,3,31.7,85.23,869,0.3,290.1,39.6,
Phaleria macrocarpa,Thymelaceae,3,35.3,80.57,1006,0.1,236.1,40.2,
Phaleria macrocarpa,Thymelaceae,3,31.73,96.43,106,0.1,171.8,31.8,
Phaleria macrocarpa,Thymelaceae,4,31.8,90.33,754,0.5,243.8,34.8,
Phaleria macrocarpa,Thymelaceae,4,31.9,92.2,129,0.1,NA,33.6,
Phaleria macrocarpa,Thymelaceae,4,31.77,88.43,468,0.1,NA,34.6,
Phaleria macrocarpa,Thymelaceae,4,31.5,91.27,545,0.3,NA,34.6,
Phaleria macrocarpa,Thymelaceae,4,35.3,80.57,734,0.1,466.7,37.4,
Phaleria macrocarpa,Thymelaceae,4,31.7,85.23,769,0.1,337.7,36.6,
Phaleria macrocarpa,Thymelaceae,4,31.73,96.43,112,0.1,NA,31.8,
Phaleria macrocarpa,Thymelaceae,5,31.8,90.33,824,0.1,360.6,36.2,
Phaleria macrocarpa,Thymelaceae,5,31.27,88.13,107,0.1,NA,31,
Phaleria macrocarpa,Thymelaceae,5,31.9,92.2,179,0.1,141.9,34.4,
Phaleria macrocarpa,Thymelaceae,5,31.5,91.27,611,0.8,338.5,34.5,
Phaleria macrocarpa,Thymelaceae,5,31.77,88.43,606,0.1,NA,36.6,
Phaleria macrocarpa,Thymelaceae,5,31.7,85.23,915,0.1,NA,35.8,
Phaleria macrocarpa,Thymelaceae,5,35.3,80.57,980,0.7,357.9,39.7,
Phaleria macrocarpa,Thymelaceae,5,31.73,96.43,587,0.1,NA,33.3,
Phaleria macrocarpa,Thymelaceae,6,31.77,88.43,608,0.1,339.3,36.4,
Phaleria macrocarpa,Thymelaceae,6,31.5,91.27,736,0.7,390.1,36,
Phaleria macrocarpa,Thymelaceae,6,31.8,90.33,949,0.2,NA,38.4,
Phaleria macrocarpa,Thymelaceae,6,31.7,85.23,970,1,423.6,35.6,
Phaleria macrocarpa,Thymelaceae,6,31.27,88.13,138,0.1,240.3,31.4,
Phaleria macrocarpa,Thymelaceae,6,35.3,80.57,987,0.1,416.3,39.4,
Phaleria macrocarpa,Thymelaceae,6,31.73,96.43,218,0.8,298.7,35.2,
Phaleria macrocarpa,Thymelaceae,7,31.7,85.23,966,1,365.2,22,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,7,35.3,80.57,963,0.1,181.7,22,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,7,31.77,88.43,624,0.1,NA,22,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,7,31.8,90.33,738,0.2,325,22,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,7,31.27,88.13,325,0.1,242.9,22,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,7,31.73,96.43,706,0.2,241.5,22,leaf temp gage fell off
Phaleria macrocarpa,Thymelaceae,7,31.5,91.27,581,0.1,401.5,22,leaf temp gage fell off
